"id","age","workclass_id","education_level_id","education_num","marital_status_id","occupation_id","relationship_id","race_id","sex_id","capital_gain","capital_loss","hours_week","country_id","over_50k"
1986,29,"Private","HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,48,"United-States",0
38500,53,"Private","Bachelors",13,"Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,1485,40,"Thailand",1
27555,60,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
20422,82,"Private","5th-6th",3,"Widowed","Other-service","Unmarried","White","Male",0,0,20,"United-States",0
29985,31,"State-gov","Masters",14,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States",0
7634,37,"Private","9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
14393,34,"Private","HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,70,"United-States",0
4852,75,"Private","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,24,"United-States",0
21850,25,"Private","Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States",0
38167,38,"State-gov","10th",6,"Separated","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States",0
29707,31,"Self-emp-inc","HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States",0
5005,36,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",0
29910,43,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,15,"United-States",1
35640,54,"Self-emp-inc","Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
18290,50,"Private","HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,35,"United-States",0
43948,19,"Private","Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,10,"United-States",0
17602,31,"Private","Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",0
15072,39,"Private","HS-grad",9,"Separated","Exec-managerial","Not-in-family","White","Male",14344,0,40,"United-States",1
5876,41,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",3103,0,40,"United-States",1
25905,31,"Local-gov","Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",1
32183,50,"Private","HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,45,"United-States",0
23184,39,"Local-gov","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
42162,29,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
11634,18,"Private","Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States",0
10432,50,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"Italy",1
23841,26,"Self-emp-not-inc","HS-grad",9,"Never-married","Sales","Other-relative","Asian-Pac-Islander","Male",0,0,50,"United-States",1
23024,24,"Private","Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,10,"Hungary",0
185,37,"Federal-gov","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,42,"United-States",1
4754,47,"Private","7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,60,"United-States",1
34672,50,"Private","HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
10212,44,"State-gov","Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,44,"United-States",1
42177,48,"Private","Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Male",0,1564,50,"United-States",1
39128,45,"Private","Bachelors",13,"Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"Philippines",0
31166,31,"Private","Some-college",10,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States",0
26790,39,"Private","HS-grad",9,"Divorced","Machine-op-inspct","Unmarried","White","Male",2977,0,40,"United-States",0
1671,44,"Private","Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",7688,0,40,"United-States",1
16399,25,"Private","7th-8th",4,"Never-married","Machine-op-inspct","Other-relative","White","Female",0,0,40,"Dominican-Republic",0
4479,37,"Private","Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",7430,0,45,"United-States",1
21252,32,"Private","Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
22885,31,"Private","5th-6th",3,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico",0
48063,24,"Self-emp-not-inc","HS-grad",9,"Never-married","Craft-repair","Other-relative","White","Male",0,0,40,"United-States",0
27363,35,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
44472,36,"Self-emp-inc","Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",0
17497,43,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,44,"United-States",0
43680,39,"Federal-gov","Some-college",10,"Never-married","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States",0
17529,53,"Private","Bachelors",13,"Divorced","Tech-support","Not-in-family","White","Female",0,0,40,"United-States",0
29001,28,"Private","Some-college",10,"Never-married","Priv-house-serv","Not-in-family","White","Female",0,0,40,"United-States",0
15079,31,"Private","Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States",0
15699,32,"Private","Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"India",0
29289,19,"Private","HS-grad",9,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",0
39338,33,"Private","HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
44300,19,"Private","Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
38442,42,"Local-gov","Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
22784,50,"Self-emp-inc","Masters",14,"Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,50,"Trinadad&Tobago",0
18269,24,"Private","Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Male",0,0,45,"United-States",0
15195,18,"State-gov","HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States",0
37833,51,"Self-emp-not-inc","Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Male",10520,0,20,"United-States",1
36888,18,"Private","HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,30,"United-States",0
35624,26,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
19262,29,"Private","Bachelors",13,"Never-married","Farming-fishing","Own-child","White","Male",0,0,50,"United-States",0
15331,57,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1672,45,"United-States",0
8449,49,"Private","Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",1
13817,36,"Local-gov","Bachelors",13,"Separated","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
43653,22,"Private","Bachelors",13,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States",0
6525,49,"Self-emp-inc","Masters",14,"Divorced","Prof-specialty","Unmarried","White","Male",99999,0,80,"Mexico",1
34880,67,"State-gov","10th",6,"Widowed","Other-service","Not-in-family","White","Female",0,0,12,"United-States",0
41551,21,"Private","HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States",0
11238,30,"Private","11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,49,"United-States",0
997,45,"Private","Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,45,"United-States",0
45153,51,"Private","Some-college",10,"Never-married","Exec-managerial","Unmarried","Black","Female",0,0,40,"United-States",0
5728,45,"Private","Masters",14,"Divorced","Transport-moving","Not-in-family","White","Male",14344,0,48,"United-States",1
37297,20,"Private","9th",5,"Never-married","Transport-moving","Unmarried","White","Male",0,0,35,"United-States",0
8415,45,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Other-relative","Asian-Pac-Islander","Male",0,0,40,"Philippines",0
38046,53,"State-gov","7th-8th",4,"Married-spouse-absent","Other-service","Unmarried","White","Female",0,0,45,"Poland",0
35724,41,"Private","Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States",1
10297,42,"Private","HS-grad",9,"Married-civ-spouse","Tech-support","Husband","Asian-Pac-Islander","Male",15024,0,40,"United-States",1
354,46,"Local-gov","11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,30,"United-States",0
25344,32,"Private","Some-college",10,"Divorced","Machine-op-inspct","Unmarried","White","Female",0,0,40,"United-States",0
46482,73,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",1409,0,2,"United-States",0
47520,41,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,30,"United-States",1
37173,31,"Private","HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
40568,37,"Federal-gov","Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States",1
6993,31,"Private","Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",4386,0,45,"United-States",1
14970,59,"Private","11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
22178,53,"Private","HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
42561,75,"Self-emp-not-inc","Assoc-voc",11,"Divorced","Prof-specialty","Not-in-family","White","Female",15831,0,50,"United-States",1
33294,38,"State-gov","Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1887,50,"United-States",1
21571,34,"Private","HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States",0
46416,32,"Private","Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
22381,28,"Self-emp-not-inc","Bachelors",13,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"United-States",0
27599,24,"Private","Some-college",10,"Separated","Prof-specialty","Own-child","White","Male",0,0,54,"United-States",0
5376,31,"Federal-gov","Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Female",0,0,40,"United-States",0
18903,68,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,10,"United-States",0
4596,42,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","Black","Male",0,0,40,"United-States",1
