"id","age","workclass_id","education_level_id","education_num","marital_status_id","occupation_id","relationship_id","race_id","sex_id","capital_gain","capital_loss","hours_week","country_id","over_50k"
17985,53,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Asian-Pac-Islander","Female",0,0,50,"South",0
27774,17,"Private","11th",7,"Never-married","Sales","Own-child","White","Male",0,0,30,"United-States",0
48505,52,"Private","7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States",0
27715,49,"Private","7th-8th",4,"Never-married","Machine-op-inspct","Not-in-family","Asian-Pac-Islander","Male",0,0,45,"Laos",0
26684,49,"Private","Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
14041,40,"Federal-gov","HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,22,"United-States",0
13558,57,"Private","Bachelors",13,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States",0
18307,27,"Private","Some-college",10,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,36,"United-States",0
8123,25,"Private","Some-college",10,"Never-married","Sales","Own-child","Asian-Pac-Islander","Male",0,0,40,"United-States",0
17109,65,"Local-gov","Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,35,"United-States",0
46926,54,"Private","Assoc-acdm",12,"Divorced","Sales","Not-in-family","White","Male",0,0,32,"United-States",0
25115,26,"Private","11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",0
32668,41,"Local-gov","HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",0
31885,41,"Self-emp-inc","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
46043,49,"Federal-gov","HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States",1
21468,48,"Self-emp-inc","Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,55,"United-States",1
7317,23,"Private","Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,20,"United-States",0
36284,20,"Private","HS-grad",9,"Never-married","Other-service","Own-child","Black","Female",0,0,18,"United-States",0
35349,47,"Private","Some-college",10,"Never-married","Sales","Not-in-family","White","Male",13550,0,45,"United-States",1
16859,25,"Local-gov","Some-college",10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States",0
34795,33,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",1
31035,34,"State-gov","Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,60,"United-States",0
2712,19,"Private","Some-college",10,"Never-married","Machine-op-inspct","Other-relative","White","Male",0,0,50,"United-States",0
20631,34,"Private","Some-college",10,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,40,"Philippines",0
9565,26,"Private","Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",0
29401,36,"Self-emp-inc","HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,70,"United-States",0
11549,47,"Local-gov","Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,45,"United-States",0
40923,20,"Private","Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,10,"United-States",0
34652,50,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
38818,20,"State-gov","Some-college",10,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States",0
36688,60,"Federal-gov","9th",5,"Divorced","Other-service","Not-in-family","Black","Female",0,0,40,"United-States",0
41294,41,"Private","HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
34655,18,"Private","11th",7,"Never-married","Sales","Own-child","White","Female",0,0,10,"United-States",0
19834,47,"Private","HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,1590,40,"United-States",0
25160,30,"Private","7th-8th",4,"Separated","Transport-moving","Not-in-family","White","Male",0,0,35,"United-States",0
24680,31,"Private","Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,25,"United-States",1
14509,29,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",0
18180,26,"Private","Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States",0
34573,62,"Private","10th",6,"Widowed","Adm-clerical","Own-child","Black","Female",0,0,40,"United-States",0
17833,66,"Local-gov","7th-8th",4,"Widowed","Other-service","Not-in-family","White","Female",0,0,20,"United-States",0
29527,51,"Private","HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",7298,0,40,"El-Salvador",1
47018,37,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",0
45143,55,"Private","5th-6th",3,"Never-married","Transport-moving","Not-in-family","Black","Male",0,0,40,"United-States",0
42046,38,"Private","9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
44589,33,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1672,40,"United-States",0
18036,27,"Private","HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,70,"United-States",0
20867,27,"Private","Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States",0
25005,34,"Private","HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States",0
14880,51,"Local-gov","7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",0
13726,20,"Private","HS-grad",9,"Never-married","Sales","Not-in-family","White","Female",0,0,35,"United-States",0
33762,20,"Private","Some-college",10,"Never-married","Sales","Own-child","White","Female",594,0,24,"United-States",0
33834,20,"Private","Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,25,"United-States",0
1454,49,"Self-emp-inc","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
44209,51,"Private","Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,55,"United-States",1
28839,55,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",0
29973,47,"Private","11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Dominican-Republic",0
12655,40,"Private","Assoc-voc",11,"Divorced","Prof-specialty","Unmarried","White","Male",0,0,40,"United-States",0
29622,34,"Private","HS-grad",9,"Divorced","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States",0
36761,27,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"Mexico",0
14914,61,"Private","5th-6th",3,"Married-civ-spouse","Farming-fishing","Other-relative","White","Female",0,0,45,"Mexico",0
40088,26,"Private","HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,30,"United-States",0
12952,19,"Private","10th",6,"Never-married","Farming-fishing","Own-child","White","Male",0,0,25,"United-States",0
39494,17,"Private","12th",8,"Never-married","Prof-specialty","Own-child","White","Male",0,0,18,"United-States",0
31696,32,"Self-emp-inc","HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
7975,35,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",3103,0,40,"United-States",1
41623,20,"Private","HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States",0
40696,30,"Private","Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
44897,48,"Private","7th-8th",4,"Married-civ-spouse","Priv-house-serv","Wife","Black","Female",0,0,15,"United-States",0
